review,actual,predicted,probability,actual_sentiment,predicted_sentiment
this silly movie is really fun for the younger audiences its heros are a couple of dud detectives whose sophomoric attitudes lead them down some very silly roads chasing the big murder case you will see these detectives go to every length to solve the crime no nudity but lots of sexual implication slapstick silliness everything adolescents go for low budget but very entertaining definite cult classic potential,1,0,0.2598271,Positive,Negative
we have to remember that the s were practically a blank slate when it came to movies hollywood was in transition from patriotic war movies noir two reel oaters etc to movies with a message we had blackboard jungle on the waterfront and so on some folks might think that was an improvement i don t who was the mogul who said if you want to send a message call western union he was right these psychological thrillers are less entertainment than some kind of remote therapy this one is a pip it s about three sisters trying to wrest control of their dead father s estate one of them maybe the only one worth redemption enlists the aid of the company pilot to help her keep the rest of the family at bay he s initially in it for the bucks but eventually falls for her meanwhile the rest of the family schemes to sabotage the romance the results are predictable you get a little bit of everything in this movie sexual tension between the sisters a little subtle masochism hereditary insanity if there is such a thing we never get to meet the parents but they must really have been screwed up the cast is practically unknown one or two of the actors sound vaguely familiar the acting is so bad it s hard to believe it was released under the united artists umbrella by a company called bel air productions it was shot in and around la mostly at night and probably without permits the end was so bizarre that i thought it was a joke it was as if they ran out of money and the producer decided to wrap it up in the middle of a scene i can t explain it not even to myself but i gave this pile of trash an i m familiar with the term it s so bad it s good but i don t think i ever ran into the phenomenon before well maybe hot rods to hell but this one certainly fits you might want to try this if you love movies that seem like they were made in somebody s basement,1,0,0.010501963,Positive,Negative
this episode of twilight zone combines a silent section with melodramatic acting and sight gags an homage to the early buster keaton films lots of slapstick buster falling on a bulkhead door falling in a puddle running around pants less silly scientist s invention of a time helmet reminiscent of a flash gordon idea of what the future would be cheap prices like for ladies hats or cents a pound for beef seem outrageously high to buster even the world of is too much for buster mulligan how shocking when he is mistakenly transported to the modern world of buster was trying to go backwards the scientist of that time wants to return to a calmer world the that he has studied and admired they go back together and buster mulligan is now happy and the scientist regrets not having electronic equipment modern beds or an electric blanket so buster sends him back with the crazy helmet this twilight zone doesn t have a heavy message since buster keaton died in it is one of his last efforts that s enough one other cute thing longtime underutilized maytag man jesse white is a repairman who fixes the time helmet foreshadowing his washing machine career,1,0,0.0022078285,Positive,Negative
i only gave this nine stars instead of ten because i really don t approve of pornography all that much pornography has a useful purpose in society can t say i can always think of one but it probably does personal viewpoints set aside i really thought this film was pretty funny i didn t buy this movie because it was pornography i bought it because i am one of those alice obsessives who will watch anything about alice in wonderland i own just about every version there is on dvd so it was an obvious choice to complete my dvd collection with this i must admit i was scandalized beyond my expectations and the whole thing would have been thoroughly offensive if it hadn t been so damned funny besides the music is really good and i like musicals not everyone can make a good nudie musical anyone that has seen the first nudie musical knows what a stink bomb that was considering what a low budget bill osco worked with alice is pretty remarkable as a musical it s better than some musicals made on costly budgets the film can t totally escape the dirtiness of porn i usually watch the xxx version for full shock effect and some of those scenes are scandalizing scandalizing because we are talking about lewis carroll i found myself feeling very uncomfortable and embarrassed during the scene where alice kristine debell starts masturbating it made me feel like a voyeur and the gratuitous lesbian scenes with alice and the kitty cats were a bit too racey the film has a great sense of humor about everything however there is one especially funny moment during the queen s orgy when one of the actresses gets up and says who do i have to f k to get out of this movie hilarious i m not sure i buy the whole sex is good for you ball your brains out philosophy here but sex is human and nothing human disgust me i don t know if i really feel that way but i couldn t resist saying it some people think everything should be about sex i dunno jeez just show some frick in responsibility and decorum this movie definitely scores points for the sex minded but i wouldn t push your luck next time you might really freak someone out i mean we are dealing with children s literature here,1,0,0.07138437,Positive,Negative
brian de palma s undeniable virtuosity can t really camouflage the fact that his plot here is a thinly disguised psycho carbon copy but he does provide a genuinely terrifying climax his blow out made the next year was an improvement,1,0,0.017664788,Positive,Negative
probably the best horror movie in years there s been lame remakes attempts to make you scared when all they make you do is walk out of the theater and movies that just shouldn t have been made but this one is worth it the only reason i didn t give it a is because paris hilton is in it but her death scene makes up for it believe me so here they are the spoilers of all the death scenes in the movie my favorite death scene ever paris hilton s after finding her boyfriend blake laying on the ground with a knife sticking out of his neck paige starts to run well speed walk is more respectable she finds this like garage with all these cars in it then one of the killers cuts her ankle from below this whole time shes holding a huge metal spike so she drops it and runs and hides behind this car the killer picks it up and as she looks through the window he throws it through the window and it shoots through her forehead i ve never been so excited or laughed so hard in my life paige s boyfriend blake gets a knife stabbed into his neck and then the killer walks up to him while hes on the ground and steps on it pushing it farther into his throat then he dies elisha cuthbert carly one of the hottest chicks ever doesn t die phew but she does get her lips super glued together punched in the face and gets part of her index finger chopped off yeah i felt like heaving carly s twin brother nick also survives but not without getting his ass kicked and a stab wound to the leg nicks best friend dalton gets thrown down a flight of stairs and then is decapitated his body is dragged away and we see his eyes blink then he gets covered in wax wade carly s boyfriend gets his achilles tendon snipped by a massive pair of scissors and then is attacked by the same scissors he doesn t die but hes covered in wax and on occasions his skin is accidentally removed revealing his nasty bloody flesh yummy so there it is definitely worth your money,1,0,0.27438048,Positive,Negative
a well made run of the mill movie with a tragic ending pluses the way the story moves begins with soorya struggling to live followed by a long flashback about why he s there the music a disinterested look at the life of policemen minuses the violence and the gore but i guess they add to the realistic effects still having people s heads chopped off and sent in boxes and sacks could have been avoided no complaints,1,0,0.12038739,Positive,Negative
for those who like depressing films with sleazy characters and a sordid storyline this one is for you from the bleak new york city atmosphere which comes across as an extremely grim and almost hopeless place to two diverse lead characters devoid of much sense of morality this movie is a real downer why it won the academy award was because it was so shocking at that time that hollywood brand new its freedom to show anything it wanted with all moral codes abandoned wanted to celebrate that fact filmmakers then were like an immature six year old with an unlimited expense account at the local candy store so hollywood gave theater viewers for probably the first time a dose of rape prostitution homosexuality child nudity homeless existence and other such wonderful sights and sounds only its twisted brain would think is appealing and then awarded its work it also hoped i m sure to shock mainstream audiences well it succeeded on that level audiences were stunned at what they say and heard and the academy proud of itself for being able to display filth and make money at the same time couldn t help but bestow honors upon this piece of gilded garbage forty years ago as a very young man i found this film fascinating too however seeing it again in the s left such a bad taste in my mouth i never watched to view it again the acting was good but so what acting is good in many films nobody ever said dustin hoffman and jon voight couldn t act hoffman was particularly good in his younger days in playing wacked out people he was kind of like the johnny depp of his era playing guys like ratso rizzo in this film and then going to be the rain man later on yes ratso is a character you ll never forget and joe buck voight is one you want to forget but the story is so sordid it overwhelms the fine acting this movie isn t art and it isn t worthy of its many awards it only pushed the envelope big time in and that s why it is so fondly remembered in the hearts of film people and critics it s two hours of profanity and ultra sleazy religious cheap shots glorifying weirdos andy warhol even gets in the act no surprise and generally despicable people i did like the catchy song everybody s talking that helped make harry nilsson famous but even that was bogus because fred neil wrote the song and sang it better before nilsson did it and few people have ever heard of neil which is their loss and as mentioned the name ratso rizzo kind of stays with you the film is a landmark but in a negative sense i fear this marked it as official that hollywood had gone down the toilet and it has remained in the sewer ever since,0,1,0.9982107,Negative,Positive
when a hardworking entrepreneur is rejected from a prestigious country club he starts a battle between the members and eventually buys it from ty webb chevy chase and turns it into a theme park golf course in which everyone can join this is by no means a good movie but it is still slightly amusing at times almost all of the comedy is cheap slapstick and bad jokes except for chevy chase chevy chase plays one of his greatest roles as ty webb for a second time and plays it great he is not only the funniest character in the movie he is the only funny character in the movie even dan akroyd fails to bring humor to this film which aspires to be a great sequel to a classic comedy but falls to rubble with others shown on comedy central the movie might have been better if ty webb chase had a larger role but instead he was reduced to a minor character and the star became jackie mason who they should have brought back all of the cast and made a sequel the right way this is a perfect example of what not to do when making a sequel to an already great movie overall caddyshack ii is humorous but a large mistake i do not recommend this movie,0,1,0.71958303,Negative,Positive
i remember viewing this movie when i was a kid i recall it terrified me immensely and it stayed with me all these years i spent a couple of years trying to find it online didn t remember the title only the storyline after searching and searching i came across a vhs that was being sold on e bay i was excited and when it finally arrived i jammed it into the vcr and couldn t help but feel a bit nostalgic needless to say i was slightly disappointed this wasn t the movie i remember watching as a kid it was boring at times and i found beryl reid s incessant whinning extremely annoying both performances by reid and flora robson were good overall but the movie wasn t scary i think any movie is worth viewing to form you re own opinion but sometimes well,0,1,0.89881134,Negative,Positive
