document_id,source,chunk_id,text
billing_policy,billing_policy.txt,0,Billing Policy
billing_policy,billing_policy.txt,1,Customers are responsible for reviewing their billing details and monthly charges.
billing_policy,billing_policy.txt,2,"If a customer notices an incorrect charge, unexpected charge, duplicate charge, or charge for a service they did not expect, the billing issue should be reviewed by customer support."
billing_policy,billing_policy.txt,3,"Customers should provide the relevant customer, order, invoice, or transaction information when reporting a billing problem."
billing_policy,billing_policy.txt,4,"If a payment was successful but the order was not confirmed, the payment status and order status should be checked before another payment is attempted."
billing_policy,billing_policy.txt,5,Customers should not make a second payment until the status of the original transaction has been verified.
billing_policy,billing_policy.txt,6,"If a customer is charged twice for the same purchase, the duplicate transaction should be reviewed by the billing support team."
billing_policy,billing_policy.txt,7,"If the billed amount differs from the expected amount, the applicable invoice and transaction details should be verified."
billing_policy,billing_policy.txt,8,Billing records should be checked before confirming that a charge is incorrect.
billing_policy,billing_policy.txt,9,"The assistant must not invent transaction amounts, invoice details, payment status, or billing adjustments."
billing_policy,billing_policy.txt,10,A billing investigation does not automatically result in a refund or account adjustment.
billing_policy,billing_policy.txt,11,"If the available information is insufficient to verify a billing issue, human customer support may be required."
billing_policy,billing_policy.txt,12,Customers should not provide unnecessary sensitive payment information when requesting billing assistance.
billing_policy,billing_policy.txt,13,Billing-related cases that cannot be verified from available records should be escalated to the billing support team.
cancellation_policy,cancellation_policy.txt,0,Cancellation Policy
cancellation_policy,cancellation_policy.txt,1,Customers may request cancellation of an order before the order reaches a stage where cancellation is no longer possible.
cancellation_policy,cancellation_policy.txt,2,Cancellation requests should be checked against the current order status.
cancellation_policy,cancellation_policy.txt,3,"If an order is still eligible for cancellation, the support process can proceed with the cancellation request."
cancellation_policy,cancellation_policy.txt,4,"If the order has already entered a non-cancellable stage, cancellation may not be available."
cancellation_policy,cancellation_policy.txt,5,Customers should provide the relevant order information when requesting cancellation.
cancellation_policy,cancellation_policy.txt,6,A cancellation request does not guarantee that an order can be cancelled.
cancellation_policy,cancellation_policy.txt,7,The assistant must not claim that an order has been cancelled unless the cancellation has been confirmed in the customer records.
cancellation_policy,cancellation_policy.txt,8,"If an order cannot be cancelled, other applicable options should be reviewed by customer support."
cancellation_policy,cancellation_policy.txt,9,"If payment has already been processed, the payment and cancellation status should be verified before discussing a possible refund."
cancellation_policy,cancellation_policy.txt,10,The assistant must not invent cancellation deadlines or order statuses.
cancellation_policy,cancellation_policy.txt,11,"If the available information does not show whether an order can be cancelled, human customer support should review the order."
cancellation_policy,cancellation_policy.txt,12,Cancellation eligibility and refund eligibility are separate decisions and should not be treated as automatically equivalent.
cancellation_policy,cancellation_policy.txt,13,Customers should provide accurate order information so that the current order status can be verified.
customer_service_guidelines,customer_service_guidelines.txt,0,Customer Service Guidelines
customer_service_guidelines,customer_service_guidelines.txt,1,"Customer support responses should be professional, concise, clear, and relevant to the customer's question."
customer_service_guidelines,customer_service_guidelines.txt,2,Support responses must use only verified information available in customer records and the approved knowledge base.
customer_service_guidelines,customer_service_guidelines.txt,3,"The assistant must not invent product specifications, policies, order information, payment information, delivery information, or troubleshooting procedures."
customer_service_guidelines,customer_service_guidelines.txt,4,"When the available information is insufficient, the assistant should clearly state that additional information or human customer support is required."
customer_service_guidelines,customer_service_guidelines.txt,5,The assistant should not request unnecessary personal information.
customer_service_guidelines,customer_service_guidelines.txt,6,"For account-specific questions, customer information should be retrieved through the appropriate customer profile tool."
customer_service_guidelines,customer_service_guidelines.txt,7,"For churn-related questions, the churn prediction tool should be used."
customer_service_guidelines,customer_service_guidelines.txt,8,"For questions asking why a customer is at risk, the SHAP explanation tool should be used to identify the main factors affecting the prediction."
customer_service_guidelines,customer_service_guidelines.txt,9,"For general support, billing, refund, cancellation, delivery, warranty, and technical questions, the business knowledge base should be searched before generating an answer."
customer_service_guidelines,customer_service_guidelines.txt,10,The assistant should provide grounded answers and avoid unsupported claims.
customer_service_guidelines,customer_service_guidelines.txt,11,"The assistant should not reveal internal implementation details such as embeddings, vector databases, retrieval mechanisms, or model names to customers."
customer_service_guidelines,customer_service_guidelines.txt,12,The assistant should not claim that an action has been completed unless the system has actually performed or verified that action.
customer_service_guidelines,customer_service_guidelines.txt,13,"If a question cannot be answered from available information, the assistant should recommend human support rather than inventing an answer."
customer_service_guidelines,customer_service_guidelines.txt,14,Responses should focus on the customer's question and avoid unnecessary explanations.
customer_service_guidelines,customer_service_guidelines.txt,15,Sensitive customer information should not be requested unless it is necessary for the requested support operation.
delivery_policy,delivery_policy.txt,0,Delivery Policy
delivery_policy,delivery_policy.txt,1,"Customers can contact support when an order has not been received, has been delayed, or has an unexpected delivery status."
delivery_policy,delivery_policy.txt,2,Delivery-related issues should be checked using the available order and delivery information.
delivery_policy,delivery_policy.txt,3,"If an order is delayed, the current order status should be verified before providing an estimated resolution."
delivery_policy,delivery_policy.txt,4,"If an order is marked as delivered but the customer has not received it, the delivery details should be reviewed and the issue should be escalated when necessary."
delivery_policy,delivery_policy.txt,5,Customers should provide the relevant order information when requesting delivery assistance.
delivery_policy,delivery_policy.txt,6,"The system must not invent delivery dates, tracking information, delivery locations, or shipment status."
delivery_policy,delivery_policy.txt,7,"If an order is still in transit, the available delivery information should be checked before making claims about its arrival."
delivery_policy,delivery_policy.txt,8,"If delivery information cannot be verified, human customer support may be required."
delivery_policy,delivery_policy.txt,9,A delayed delivery does not automatically indicate that an order has been lost.
delivery_policy,delivery_policy.txt,10,A delivered status does not automatically confirm that the customer personally received the order.
delivery_policy,delivery_policy.txt,11,"If an order appears to have been delivered incorrectly, the delivery information should be reviewed by customer support."
delivery_policy,delivery_policy.txt,12,The assistant must not guarantee a delivery date unless that information is available in verified customer records.
delivery_policy,delivery_policy.txt,13,Customers should provide accurate order information so that delivery status can be checked.
delivery_policy,delivery_policy.txt,14,"Delivery issues involving missing, damaged, or incorrectly delivered products may require additional investigation."
escalation_policy,escalation_policy.txt,0,Customer Support Escalation Policy
escalation_policy,escalation_policy.txt,1,Customer issues should be escalated to human support when the available information is insufficient to provide a reliable answer.
escalation_policy,escalation_policy.txt,2,"Billing disputes involving incorrect charges, duplicate charges, or transactions that cannot be verified should be reviewed by the billing support team."
escalation_policy,escalation_policy.txt,3,Refund requests should be escalated when refund eligibility cannot be determined from the available purchase information and applicable refund conditions.
escalation_policy,escalation_policy.txt,4,Cancellation requests should be escalated when the current order status does not show whether cancellation is still possible.
escalation_policy,escalation_policy.txt,5,"Technical issues should be escalated when documented troubleshooting steps are unavailable, unsuccessful, or inappropriate for the reported problem."
escalation_policy,escalation_policy.txt,6,Technical issues involving possible safety concerns should not be handled through unsupported troubleshooting instructions and should be referred to appropriate human support.
escalation_policy,escalation_policy.txt,7,"Warranty requests should be escalated when product information, purchase information, warranty conditions, or eligibility cannot be verified."
escalation_policy,escalation_policy.txt,8,Delivery issues should be escalated when an order is marked as delivered but the customer has not received it and the available delivery information cannot resolve the issue.
escalation_policy,escalation_policy.txt,9,Account-related problems should be escalated when the available customer information is insufficient to verify or resolve the issue.
escalation_policy,escalation_policy.txt,10,Payment problems should be escalated when the transaction status cannot be verified or when repeated payment attempts may create additional charges.
escalation_policy,escalation_policy.txt,11,"The assistant must not invent missing customer records, order information, payment information, delivery information, warranty conditions, or product specifications."
escalation_policy,escalation_policy.txt,12,The assistant should clearly explain when additional information or human support is required.
escalation_policy,escalation_policy.txt,13,"Escalation does not guarantee approval of a refund, replacement, cancellation, warranty claim, or other requested resolution."
escalation_policy,escalation_policy.txt,14,"When an issue is escalated, the support team should receive the relevant customer information, issue description, available transaction information, and actions already attempted."
escalation_policy,escalation_policy.txt,15,The assistant should remain concise and professional when recommending escalation.
escalation_policy,escalation_policy.txt,16,The assistant must never claim that a case has been escalated unless an actual escalation action has been performed by the system.
escalation_policy,escalation_policy.txt,17,"If a customer asks for an action that the system cannot perform, the assistant should clearly explain the limitation and recommend the appropriate support channel."
payment_policy,payment_policy.txt,0,Payment Policy
payment_policy,payment_policy.txt,1,Customers should verify their payment status when a transaction does not appear to have completed correctly.
payment_policy,payment_policy.txt,2,"If a payment fails, the customer should verify the payment status before attempting another transaction."
payment_policy,payment_policy.txt,3,"If a payment appears to have been deducted but the order was not confirmed, the transaction and order status should be checked before another payment is attempted."
payment_policy,payment_policy.txt,4,Customers should not make repeated payments for the same transaction until the status of the original payment has been verified.
