review,actual,predicted,probability,actual_sentiment,predicted_sentiment
lost isn t the greatest tv show in history but it s not far off it doesn t have the plot or characterisation of the west wing or possibly even early er however it is arguably the most continuously gripping show i have every come across i love the way i can t guess what s going to happen i love the re telling of the characters back stories which often give rise to new dimensions for us to see them in in some ways i want the show to last forever but i think they can get seasons out of it before they have to end it on a glorious high the combination of the characters and their nationalities coupled with the show s fluidity for moving backwards and forwards thus extending dead characters life spans all adds to the overwhelming sense that this show is something very different from what we are used to it s captivating surprising and here s a little suggestion for all of you conspiracy theorists more than a little interactive keep those internet discussions going you re only adding to the plot,1,0,0.49546057,Positive,Negative
this is another bollywood remake of a hollywood movie hitch if i m correct the film has some great moments which will have you laughing out loud which frankly only come from govinda who has become a legend within indian cinema and will always bring his a game in terms of comedies another bonus is rajpal yadav who is hilarious as the gangster who mimics don an indian icon of cinema lara dutta is a plus i know i sound shallow but its mainly because i have a soft spot for her she tries to be funny but its seems to be forced her acting is weak but she still shines salman khan is atrocious he tries to bring the cool charming depths but fails miserably he over acts and keeps shouting for no apparent reason thats not acting mate thats called being mentally challenged katrina kaif is just bad not very good at anything no charisma no talent and i don t see why people consider her pretty the plot was far fetched and i had a hard time believing that katrina s character was remotely attracted to govinda the only good thing is the music you re my love was the best in the soundtrack,0,1,0.5223357,Negative,Positive
this is an admirable attempt from first time filmmaker ham tran offering little glanced perspective dealing with vietnam war victims struggling for liberation but plays out as a glorified history special with clunky self consciously informative dialog and sub par acting even a relatively impressive budget with attention to detail will not spring to life this sagging albeit historically worthy melodrama paying no mind to the often distracting disconnect with the actors to the reality of situations on screen and you should be left with an informative if somewhat impersonal educational lesson in vietnamese post war history,0,1,0.5223357,Negative,Positive
we have to remember that the s were practically a blank slate when it came to movies hollywood was in transition from patriotic war movies noir two reel oaters etc to movies with a message we had blackboard jungle on the waterfront and so on some folks might think that was an improvement i don t who was the mogul who said if you want to send a message call western union he was right these psychological thrillers are less entertainment than some kind of remote therapy this one is a pip it s about three sisters trying to wrest control of their dead father s estate one of them maybe the only one worth redemption enlists the aid of the company pilot to help her keep the rest of the family at bay he s initially in it for the bucks but eventually falls for her meanwhile the rest of the family schemes to sabotage the romance the results are predictable you get a little bit of everything in this movie sexual tension between the sisters a little subtle masochism hereditary insanity if there is such a thing we never get to meet the parents but they must really have been screwed up the cast is practically unknown one or two of the actors sound vaguely familiar the acting is so bad it s hard to believe it was released under the united artists umbrella by a company called bel air productions it was shot in and around la mostly at night and probably without permits the end was so bizarre that i thought it was a joke it was as if they ran out of money and the producer decided to wrap it up in the middle of a scene i can t explain it not even to myself but i gave this pile of trash an i m familiar with the term it s so bad it s good but i don t think i ever ran into the phenomenon before well maybe hot rods to hell but this one certainly fits you might want to try this if you love movies that seem like they were made in somebody s basement,1,0,0.4954605,Positive,Negative
i ve seen some bad things in my time a half dead cow trying to get out of waist high mud a head on collision between two cars a thousand plates smashing on a kitchen floor human beings living like animals but never in my life have i seen anything as bad as the cat in the hat this film is worse than worse than hitler worse than vllad the impaler worse than people who put kittens in microwaves it is the most disturbing film of all time easy i used to think it was a joke some elaborate joke and that mike myers was maybe a high cocaine sniffing drug addled betting junkie who lost a bet or something i shudder,0,1,0.5223357,Negative,Positive
well i do disagreed with the other comment posted piedras is much much better them magnolia or any of the other films that were mentioned specially about non real characters i think that someone just wrote that only because he never lived in the spanish society like i did and i m not spanish is a very real film with real characters very well done by one of the best spanish actress antonia san juan about be a european film in contrast with an american film well we different societies personally i dislike american modern films a lot i like the classics and some of the andy american films but they are very few is a film about the continuous constitution of a person liked or not we all make mistakes but some can learn about the mistakes,1,0,0.4954605,Positive,Negative
shame is a swedish film in swedish with english subtitles the film is about a husband and wife named jan and eva they live on an island working as farmers there is a war going on and soldiers start attacking people on the island once the war subsides a little jan and eva are arrested as going along with the opposite side once released even more trouble ensues and the film shows how two ordinary people will act in a situation of war and life or death winner of the cec award for best foreign film at the cinema writers circle awards the guldbagge award for best actress liv ullman who plays eva at the guldbagge awards the nbr award for best foreign language film and best actress at the national board of review and the nsfc award for best actress best director ingmar bergman and best film at the national society of film critics awards shame has good direction a good script good performances by both max von sydow who plays jan and liv ullman who plays eva good cinematography and good production design shame is a well acted and well made story of how people in a desperate situation will sometimes do whatever they can do in order to survive the film has a powerful message and is a good film the reason i am not rating this film higher is because it is not a masterpiece like some other ingmar bergman films like wild strawberries the seventh seal or persona for example the film didn t have as big an impact on me as i thought it would and it lacked ingmar bergman s thoughtful and philosophical dialog while nowhere close to being one of his best films there is still a lot to like about shame and it is a good movie i just probably would have liked it more having not seen some of those other bergman masterpieces,1,0,0.4954605,Positive,Negative
ranma is my favorite anime by rumiko takahashi the woman really knows how to entertain us with a good story that is not only a comedy but also an action anime the main character of the story is ranma saotome a teenager boy who is also an expert in martial arts ranma is engaged to akane because of an arrangement of both fathers who are great friends and trained together during many years akane is the younger and most violent sister of the tendo s kasumi is the oldest and is very sweet and nabiki is the middle and loves to win money no matter what ranma and akane fight all the time specially because both have a very bad temper and when they discover that ranma becomes a girl when splashed with cold water as well as his father becomes a panda many new characters and situations starts to happen they also discover the reason of the transformation while fighting ranma and his father fell in a cursed river but not only them had this kind of fate if you watched ranma and liked i would recommend you inuyasha and maison ikkoku two other good creations from rumiko s hands,1,0,0.4954605,Positive,Negative
saw this for the first time on uk tv with good musical accompaniment the elevator scene is class especially when he does the going down thing in the phone booth and then fiddles with the floor indicator the jump through the transom is really impressive and there s so much more apart from all the stuff that s been mentioned before there s the fight with the man who s been bullying the woman with the dog it just looks so simple the only drawback is the plot he gets mixed up with dead eye dan who then escapes but doesn t reappear even when some more gangsters get involved later on the scene where it looks like he s shooting at the fat inspector is funny but would have been better if dead eye was the one pulling the trigger,1,0,0.49546057,Positive,Negative
mr blandings builds his dream house may be the best frank capra preston sturges movie neither man ever made if you love bringing up baby the philadelpia story the thin man i was a male war bride or it s a wonderful life movies made with wit taste and and the occasional tongue firmly panted in cheek check this one out post wwii life is simply and idyllically portrayed grant is at the absolute top of his form playing the city mouse venturing into the life of a country squire loy is adorable as his pre now wife the cast of supporting characters compares to you can t take it with you and contains an early bit by future tarzan lex barker art direction and editing are way above par the movie never stoops to the low rent by the numbers venal slapstick of the later adaptation the money pit,1,0,0.4954605,Positive,Negative
i just read a review defending this film because it had a low budget now my take on things the cgi monsters was reasonable well animated but was implemented in the worst possible way the fight scenes weren t even fights it was just one shot of an actor then one shot of monster with very interaction at all when the monster did interact it looked like it was done in paintshop pro in my opinion if you have a low budget you should use models and puppets they may not look as fancy but at least they interact just look at peter jacksons early films as for the acting beowulf did an descent job but the rest of the cast were either not trying or they forgot where they where the script seemed confused to me one minute they would be talking as if it were a modern day setting the next you get drama club shakespeare speech i m not say it should be all ye and that it be but you need to find a cohesive balance so the lines sound like they come from the same person i did notice one part near the start when beowulf was quoting the old testament which would have been find had he not spent the rest of the films talking about the gods and portents in short this film is a very slightly polished turd but a turn none the less,0,1,0.5223357,Negative,Positive
a lot has already been said on this movie and i d like to join those who praised it it s a highly unique film which uses elements of different genres drama comedy gangster film without making a mess of it at points you just laugh out loud at other points you feel for the characters whose mistakes and failures you watch sabu s genius can be shown with regard to some sequences of the movie one is that where all three men chasing one another have an erotic day dream about a young woman that they just passed by on the street this sequence is beautifully done and illustrates the characters of all three runners very well it is erotic and funny at the same time another example of sabu s genius is the part of the film where the runners get tired first one of them the typical loser among the three guys hallucinates that the woman that left him for someone else is back again and you see them dancing with one another and in the next shot him dancing with himself which is deeply moving all of the runners get to this point where they think that have something back they lost or are on track again and at one part of the movie they stop chasing each other running in line just laughing so here is it all the beauty and the ludicrousness of what we call life which sabu manages to show throughout the film his characters fail do they at the end but he doesn t rob them of their dignity monday and postman blues that do justice to sabu s claim that he is a genius go watch them,1,0,0.4954605,Positive,Negative
that kid a is such a babe this movie was no titan a e of which it is in many ways modeled after but still came off as entertaining the fact this lost to a piece of monkey crap like tomb raider makes wanna cry includes some of the most entertaining characters i ve seen in disney film,1,0,0.4954605,Positive,Negative
louis sachar s compelling children s classic is about as disney as freddy krueger it s got murder racism facial disfigurement and killer lizards tightly plotted it s a multi layered interlinking story that spans history to reveal stanley s own heritage and the secret behind the holes it races from latvia s lush greenness to the pock marked camp green lake hint there s no lake and no green disney s first success is re creating the novel s environments so convincingly the set design is superb and without gloss the other plus is in the casting rising star shia labeouf charlie s angels project greenlight might not be the fat boy of the book but his attitude is right and he s far from the usual clean cut hero the rest of the cast is filled out equally well from patricia arquette as the frontier school marm turned bank robber to henry winkler as stanley s dad the downside is the pop soundtrack pure marketing department and having the sentiment turned up to full volume at the end,1,0,0.4954605,Positive,Negative
as a guy who has seen all the seasons i can say that jg constantly surprises me i mean after you saw him shifting from laughter to paranoia instantly throughout the seasons and after every little gesture of his made u believe he is a gangster u thought to yourself ok he is a good actor and he can get into a gangster s skin but after seeing him opening his eyes and struggling for his life i mean i could almost feel the pain he made us believe he was going through i was so touched by his performance that i immediately thought at robert de niro marlon brando and al pacino these guys were definitely the best of their generations and even more but nowadays they are either old or dead brando and it s ok that they make less movies and their performances are lighter than they used to be i can t wait to see gandolfini in other movies where he delivers a totally different role can u recommend me some of his older movies where he gives a memorable performance,1,0,0.4954605,Positive,Negative
brian de palma s undeniable virtuosity can t really camouflage the fact that his plot here is a thinly disguised psycho carbon copy but he does provide a genuinely terrifying climax his blow out made the next year was an improvement,1,0,0.4954605,Positive,Negative
i enjoyed the mr magoo cartoons i saw while growing up and i enjoy leslie nielson s comic skills so i thought this marriage must produce a funny child i couldn t have been more wrong this movie was just awful i don t recall a single funny moment this is one of the two or three times in hundreds of films over the years i ve wanted my money back you will leave this film dejected because you won t ever have that time back to use in a better way in a comedy the plot must draw in the viewer and serve as a framework for gags this plot does neither it just kinda lies there gasping like a beached fish,0,1,0.5223357,Negative,Positive
wow this film is the best living testament i think of what happened on in nyc compared to anything shown by the major media outlets those outlets can only show you what happened on the outside this film shows you what happened on the inside it begins with a focus on a rookie new york fireman waiting for weeks for the first big fire that he will be called to fight the subject matter turns abruptly with the only existing footage of the first plane to hit the towers you are then given a front row seat as firefighters rush to the scene into the lobby of tower one in the minutes that precede the crash of the second plane and tower two s subsequent fall you see firemen reacting to the unsettling sound of people landing above the lobby it is a sight you will not soon forget heart rending tear jerking and very compelling from the first minute to the last deserves to go down in history as one of the best documentary films ever made we must never forget,1,0,0.4954605,Positive,Negative
probably the best horror movie in years there s been lame remakes attempts to make you scared when all they make you do is walk out of the theater and movies that just shouldn t have been made but this one is worth it the only reason i didn t give it a is because paris hilton is in it but her death scene makes up for it believe me so here they are the spoilers of all the death scenes in the movie my favorite death scene ever paris hilton s after finding her boyfriend blake laying on the ground with a knife sticking out of his neck paige starts to run well speed walk is more respectable she finds this like garage with all these cars in it then one of the killers cuts her ankle from below this whole time shes holding a huge metal spike so she drops it and runs and hides behind this car the killer picks it up and as she looks through the window he throws it through the window and it shoots through her forehead i ve never been so excited or laughed so hard in my life paige s boyfriend blake gets a knife stabbed into his neck and then the killer walks up to him while hes on the ground and steps on it pushing it farther into his throat then he dies elisha cuthbert carly one of the hottest chicks ever doesn t die phew but she does get her lips super glued together punched in the face and gets part of her index finger chopped off yeah i felt like heaving carly s twin brother nick also survives but not without getting his ass kicked and a stab wound to the leg nicks best friend dalton gets thrown down a flight of stairs and then is decapitated his body is dragged away and we see his eyes blink then he gets covered in wax wade carly s boyfriend gets his achilles tendon snipped by a massive pair of scissors and then is attacked by the same scissors he doesn t die but hes covered in wax and on occasions his skin is accidentally removed revealing his nasty bloody flesh yummy so there it is definitely worth your money,1,0,0.4954605,Positive,Negative
i basically found eden s curve to be a very poorly constructed that made it difficult to watch however there is something i must say about how the director captured something about the atmosphere of the early s in the choice of settings and clothing the back to the earth philosophy and the interest in sexual exploration and drugs that was not dramatically decadent as portrayed in many later versions of the s was right on as was the don t ask don t tell pseudo liberalism of the fraternity made up of east coast intellectuals except that i would have thought this was more likely of a new england school rather than one in virginia where i imagine the good ole boy mentality still dominated even elitist schools like this one another thing i appreciated and could relate to is that this was a time when homosexuality was not linked so much to leathermen or drag queens and i appreciated some homosexual roles not related to these terribly overused images i felt it was very unfortunate that gay culture took on certain standard forms in the s out of castro and christopher streets and these defined the movement and left out huge numbers of gay men that were more subdued in their lifestyles i appreciated the film mainly as a way of remembering a more natural way we were about our sexuality and personal relationships without the scene,0,1,0.5223357,Negative,Positive
the old mill pond is more of a tribute to the african american entertainers of the s than any denigration of the entire race stepin fetchit caricature notwithstanding besides who i just mentioned there s also frog or fish versions of cab calloway fats waller joesphine baker bill bojangles robinson and louis armstrong this happy harmonies cartoon from hugh harmon and rudolf ising is very entertaining musically with perfect characterizations all around they all sound so much like the real thing that half of me thinks they could possibly be if not they re certainly very flattering impersonations even the lazy shiftless fetchit characterization gets an exciting workout here when he gets chased by a tiger as hold that tiger plays on the score highly recommended for fans of s animation and jazz music,1,0,0.4954605,Positive,Negative
this may contain spoilers where to start on this particular empty wasteland well it would have been nice if they actually had a plot acting talent decent dialog suspense humor hey even gratuitous sex would have helped this flick unfortunately there was only a lot of gore even that wasn t done well shooting automatic weapons and missing there seemed to be no reason to attach the basic premise a native american cursed to protect the bodies of the tribe he murdered with his being tracked down by a federal special ops team who dressed in civvies most of the time involved violating one of the basic rules of conduct in a horror movie separating from the group so you can be picked off one by one you d think this team would know better especially because they are actually the third team sent to investigate the other two teams disappearing without a trace when they finally realize they re being picked off they make one of several stands and fire their weapons only to hit the trees a whole lot tree shot scene repeats endlessly in this movie to save money when they re not shooting trees they re tracking this spirit who leaves no trail who knows how they re tracking it and spouting a lot of macho bs by the way did i mention that most of this team are women interesting listening to them talk tough not very entertaining but interesting all in all you can find better movies in the bargain bin at kmart,0,1,0.5223357,Negative,Positive
this is a formula b science fiction movie and the director made no bones about it it is about a dragon who is restored to life by a scientific team everything done is stuff you ve seen many times before it is a weak script with no real characters in fact it is full of stereotype characters and situations the director attacks this by just making it a formula movie with no attempt to fool us and that gives this movie a mild appeal but it isn t something you re likely to remember a while it is best seen while you re cooking cleaning working out sort of mindless fun it has its place in entertainment but it certainly isn t something you sit down with friends to watch unless you re all just drunk and don t care the mass rating of is probably fair i don t think it is as crappy as most people but i am surprised that some people in the postings thought this was spectacular that really eludes me as i see no attempt to even make this a memorable film,0,1,0.5223357,Negative,Positive
i never fell asleep during a movie never this movie did the impossible while many people claim the superiority of japanese horror films over their american counterparts this movie was a lesson in over abundance as in the movie was minutes too long it would have helped if the movie had a little more movement in the plot and the camera work but instead all we got were awkward silences and a lot of slow movement the acting was absolutely terrible bordering on bad student film levels while everyone struggled to ad lib something called a script did these people even get any direction were they coaxed to be boring and dull either therory wouldn t surprise me what was even worse was the rather unscary make up involved with the creatures from the other side either way they all stunk don t watch this film that s all i can say unless you re an insomniac,0,1,0.5223357,Negative,Positive
