review,actual,predicted,probability,actual_sentiment,predicted_sentiment
we have to remember that the s were practically a blank slate when it came to movies hollywood was in transition from patriotic war movies noir two reel oaters etc to movies with a message we had blackboard jungle on the waterfront and so on some folks might think that was an improvement i don t who was the mogul who said if you want to send a message call western union he was right these psychological thrillers are less entertainment than some kind of remote therapy this one is a pip it s about three sisters trying to wrest control of their dead father s estate one of them maybe the only one worth redemption enlists the aid of the company pilot to help her keep the rest of the family at bay he s initially in it for the bucks but eventually falls for her meanwhile the rest of the family schemes to sabotage the romance the results are predictable you get a little bit of everything in this movie sexual tension between the sisters a little subtle masochism hereditary insanity if there is such a thing we never get to meet the parents but they must really have been screwed up the cast is practically unknown one or two of the actors sound vaguely familiar the acting is so bad it s hard to believe it was released under the united artists umbrella by a company called bel air productions it was shot in and around la mostly at night and probably without permits the end was so bizarre that i thought it was a joke it was as if they ran out of money and the producer decided to wrap it up in the middle of a scene i can t explain it not even to myself but i gave this pile of trash an i m familiar with the term it s so bad it s good but i don t think i ever ran into the phenomenon before well maybe hot rods to hell but this one certainly fits you might want to try this if you love movies that seem like they were made in somebody s basement,1,0,0.007182687,Positive,Negative
when the film started i got the feeling this was going to be something special the acting and camera work were undoubtedly good i also liked the characters and could have grown to empathise with them the film had a good atmosphere and there was a hint of fantasy however as the film went on the plot never appeared to takeoff and just rolled on scene by scene i was unable to understand the connection between the stories all i could see was the characters occasionally bumping into each other and references to ships in bottles without that connection i was just left with a few unremarkable short stories am surprised it did so well at cannes,0,1,0.8911916,Negative,Positive
hollow man starts as brilliant but flawed scientist dr sebastian caine kevin bacon finally works out how to make things visible again after having been turned invisible by his own serum they test the serum on an already invisible gorilla it works perfectly caine his team of assistant s celebrate but while he should report the breakthrough to his military backers caine wants to be the first invisible human he manages to persuade his team to help him the procedure works well caine becomes invisible however when they try to bring him back the serum fails he remain invisible the team desperately search for an antidote but nothing works caine slowly starts to lose his grip on reality as he realises what power he has but is unable to use it being trapped in a laboratory but then again he s invisible right he can do anything he wants directed by paul verhoeven i rather liked hollow man you know it s just after christmas i saw this a few hours ago on late night early morning cable tv worst of all i feel sick not because of the film but because of the chocolates fizzy pop i ve had over the past week so i ll keep this one brief the script by andrew w marlowe has a decent pace about but it does drag a little during the middle has a good central premise it takes he basic idea that being invisible will make you insane just like in the original the invisible man film which hollow man obviously owes a fair bit it manages to have a petty successful blend of horror sci fi action provide good entertainment value for odd minutes i thought the character s were ok i thought some of the ideas in the film were good although i think it s generally known that verhoeven doesn t deal in subtlety the first thing he has the invisible caine do is sexually molest one of his team then when he gets into the outside world he has caine rape a woman with the justification who s going to know that caine says to himself then of course there s the gore he shows a rat being torn apart that s just the opening scene after the credits to be fair to him the violence is a bit more sparse this time around but still has a quite nasty sadistic tone about it having said that i love horror gore exploitation films so hollow man delivers for me it s just that it might not be everyone s cup of tea director verhoeven does a great job or should that be the special effects boys make him look good the special effects in hollow man really are spectacular more or less flawless their brilliant it s as simple straight forward as that there s some good horror action set pieces here as well even if the climatic fight is a little over the top i love the effect where kevin bacon disappears one layer at a time complete with veins organs bones on full show or when the reverse happens with the gorilla there s a few gory moments including a rat being eaten someone is impaled on a spike someone has their head busted open with blood splattering results with a staggering budget of about hollow man is technically faultless i can imagine the interviews on the dvd where some special effects boffin says they mapped bacon s entire body out right down to he last vein which they actually did because you know everyone watching would notice if one of his veins were missing or in the wrong position wouldn t they the acting was ok bacon made for a good mad scientist anti hero type guy hollow man is one of hose big budget hollwood extravaganzas where the effects action take center stage over any sort of meaningful story or character s but to be brutally honest sometimes we all like that in a film well i know i do good solid big budget entertainment with a slightly nastier darker streak than the usual hollywood product definitely worth a watch,1,0,0.052773483,Positive,Negative
saw this for the first time on uk tv with good musical accompaniment the elevator scene is class especially when he does the going down thing in the phone booth and then fiddles with the floor indicator the jump through the transom is really impressive and there s so much more apart from all the stuff that s been mentioned before there s the fight with the man who s been bullying the woman with the dog it just looks so simple the only drawback is the plot he gets mixed up with dead eye dan who then escapes but doesn t reappear even when some more gangsters get involved later on the scene where it looks like he s shooting at the fat inspector is funny but would have been better if dead eye was the one pulling the trigger,1,0,0.3593659,Positive,Negative
attention spoiler many people told me that planet of the apes was tim burton s worst movie and apart from that much weaker than the original film so i decided not to see it another friend of mine who hadn t seen the movie yet advised me to watch it in spite of this because a tim burton movie is still a tim burton movie i decided to do it and i found that he was right it s clear that a remake of such a famous film as planet of the apes is automatically influenced by commercial thinking still tim burton managed his film to represent his weird playfulness just as well as beetlejuice or batman if you are already fond of burton movies it s hard not to like one of his films even if it has some flaws nerve racking monkey squeals over dressed apes and a leading actor who could have been without difficulties replaced by anbody else what the film gives us in the first place is an answer to the question what s the result when tim burton is instructed to create a remake first of all burton wouldn t be burton if he wouldn t refuse to call it a remake from the start it s a re imagining on the other hand burton knows that almost every viewer of his movie has seen the very first film version starring charlton heston as human and he knows that a remake doesn t exist without its model and that the two films will not stop being compared so all he does is playing with this comparison at every moment of his film e g by referencing to quotes concerning the story line burton does a brilliant job by answering open questions of the original first and then driving the whole audience to despair by destroying this wonderful clarity and ending the movie with and here is the spoiler leo coming back to earth and finding himself inside a world that seems to have been ruled by apes forever now this is the burtonesque answer to people s expectations they hold because of the astonishing shocking ending of the first planet of the apes an ending even more unexpected more astonishing and completely confusing because and here i m disagreeing with various planet of the apes homepages and platforms it does not make any sense there cannot be a meaning to it or just a so complicated one that it becomes ineffective tim burton is playing his cruel games he does it with a grin and he does it well burton fans will sure like it others may feel betrayed and complain about some sort of manierism well and i don t think producers will ever ask burton to direct a remake again,1,0,0.0069846725,Positive,Negative
just to mention one more thing about gentleman jim i agree with all the assessments that make this among errol flynn s greatest outings in a career of great outings i would think this role playing boxer jim corbett is more like his real personality than the swashbucklers he was typecast as flynn seemed like a party animal from his memoirs and was one guy whose real life was more exciting than his screen life the extra thing i wanted to point out is notice the great montages transitions and still inserts that punctuate the film although the director was raoul walsh a frequent collaborator with flynn with cinematographer sid hickox the montages were made up by an up and coming editor named don siegel i never knew siegel went that far back but he s listed right in the credits he would go on to a great career as action director himself,1,0,0.10957016,Positive,Negative
i am normally not compelled to write a review for a film but the only commentary for this film thus far on is rather unfair so i feel it necessary to share my point of view krisana or as it was titled at the theater i saw it fallen follows matiss a lonely latvian archivist as he tries to learn about a woman whom he didn t try to stop from jumping off a bridge as well as her reasons for doing so that s the plot in a nutshell but this film is not concerned with story as much it is in depicting the guilt of a man who failed to act as a detective who investigates the incident tells him we usually don t bother to care about the anonymous faces we pass every day until after they die comparisons to michaelango antonioni and his blowup will most likely abound in any review you read about krisana the influence of antonioni s philosophical and austere style and the story of blowup are clear and in fact writer director fred kelemen makes an obvious reference to that film in scenes in which matiss attempts to come to know the woman who jumped off the bridge or at least who he thinks did the only other person to share his or her views on the film detracts the college film class look and sound of the film he or she neglects to consider the budgetary constraints that an existentialist latvian film most likely faces but the atmospheric black and white cinematography and ambient sound succeeds at an artistic level to depict the solitude of matiss the background sound of wind and street noises lend an ominous aura and reminds one of a fellini film whether or not that was kelemen s intention the filmmakers undoubtedly had little money but this constraint is used to the film s advantage krisana succeeds as a character study with enough humor thrown in to keep it from being too self serious it could have easily fell into the trappings of a mystery story but it avoids that and becomes an intelligent film about loneliness and guilt if you are more concerned with plot this film and its ending may frustrate you otherwise take the time to be engaged by it it is well worth seeking out,1,0,0.009089743,Positive,Negative
for those who like depressing films with sleazy characters and a sordid storyline this one is for you from the bleak new york city atmosphere which comes across as an extremely grim and almost hopeless place to two diverse lead characters devoid of much sense of morality this movie is a real downer why it won the academy award was because it was so shocking at that time that hollywood brand new its freedom to show anything it wanted with all moral codes abandoned wanted to celebrate that fact filmmakers then were like an immature six year old with an unlimited expense account at the local candy store so hollywood gave theater viewers for probably the first time a dose of rape prostitution homosexuality child nudity homeless existence and other such wonderful sights and sounds only its twisted brain would think is appealing and then awarded its work it also hoped i m sure to shock mainstream audiences well it succeeded on that level audiences were stunned at what they say and heard and the academy proud of itself for being able to display filth and make money at the same time couldn t help but bestow honors upon this piece of gilded garbage forty years ago as a very young man i found this film fascinating too however seeing it again in the s left such a bad taste in my mouth i never watched to view it again the acting was good but so what acting is good in many films nobody ever said dustin hoffman and jon voight couldn t act hoffman was particularly good in his younger days in playing wacked out people he was kind of like the johnny depp of his era playing guys like ratso rizzo in this film and then going to be the rain man later on yes ratso is a character you ll never forget and joe buck voight is one you want to forget but the story is so sordid it overwhelms the fine acting this movie isn t art and it isn t worthy of its many awards it only pushed the envelope big time in and that s why it is so fondly remembered in the hearts of film people and critics it s two hours of profanity and ultra sleazy religious cheap shots glorifying weirdos andy warhol even gets in the act no surprise and generally despicable people i did like the catchy song everybody s talking that helped make harry nilsson famous but even that was bogus because fred neil wrote the song and sang it better before nilsson did it and few people have ever heard of neil which is their loss and as mentioned the name ratso rizzo kind of stays with you the film is a landmark but in a negative sense i fear this marked it as official that hollywood had gone down the toilet and it has remained in the sewer ever since,0,1,0.99870485,Negative,Positive
i remember viewing this movie when i was a kid i recall it terrified me immensely and it stayed with me all these years i spent a couple of years trying to find it online didn t remember the title only the storyline after searching and searching i came across a vhs that was being sold on e bay i was excited and when it finally arrived i jammed it into the vcr and couldn t help but feel a bit nostalgic needless to say i was slightly disappointed this wasn t the movie i remember watching as a kid it was boring at times and i found beryl reid s incessant whinning extremely annoying both performances by reid and flora robson were good overall but the movie wasn t scary i think any movie is worth viewing to form you re own opinion but sometimes well,0,1,0.93509793,Negative,Positive
tromeo juliet th anniversary edition william shakespeare s play romeo juliet has been interpreted hundreds of times on stage and in films sometimes literally following the original text which is at times vague in stage directions sometimes in new interpretations where directors chose to show their own view on the piece some are good many are mediocre lloyd kaufman s film certainly stands out as one of the most original modern versions of the bard s creation it may be placed in a modern day decaying new york and full of the modern day anti social behavior body piercing dismemberment and kinky sex which for the more than casual reader shakespeare himself wasn t shying away from but at the same time it stays incredibly close to the overall feel and point of what the play is all about which is quite an effort kaufman wrote the script with his co director on the film james gunn who is now famous for writing two successful scooby doo movies doing the impossible by making a perfect remake of an already perfect film with his script for dawn of the dead and directing one of the best horror films of the year slither lloyd kaufmans innovative directorial view alongside with james gunns original and unrestricted writing make for an interpretation of shakespeare s play that maybe not everyone will get immediately but will certainly be recognized by a truly unique and highly important view on a classic play with a script that is written entirely in iambic meter appearances of motorhead s lemmy and an outrageous forceful soundtrack watching tromeo juliet is something no one will ever forget apart from it s historical significance tromeo juliet is a treasure for film lovers of all kind not only for the script by james gunn now a good influence on hollywood while working from the inside but also because it features an early part of legendary actress debbie rochon well known by everyone familiar with films that are made on lower budgets the th anniversary edition on dvd adds to all that by including so many as yet undiscovered gems that not only all the information one could wish for about the film itself and the experience of making it is presented in ways that make it impossible to turn off the dvd but also a very honest and disturbing look is given into the ways independent cinema has to surviver these days in many ways the extra s on the disc are an invaluable addition to the already impressive amount given on kaufman s film school make your own damn movie furtermore historical items from the troma vaults which include james gunn debbie rochon and all other contributors to this masterpiece are included and the film itself is apart from looking better then ever accompanied by no less than four audio commentaries each and everyone informative excruciatingly funny and all done for serious addition to the film instead of the boring and nonsensical commentaries that are so common these days there are new commentaries one with kaufman and gunn together but also the one james gunn did for the original release of the dvd but couldn t be included there for some of honesty he displays about some other people is present on this disc with fan recreations of a few of the scenes from the film a video diary of lloyd kaufman s visit to the set of james gunn s slither and a visit the two brought together to eli roth s hostel birthday party and much more this is the ultimate set everyone must own weather you are a film historian someone interested in interpretations of the great bard s work a fan of great cinema a fighter for independent cinema a fan of james gunn interested in learning more on making films on a low budget a fan of lloyd kaufman or whatever this is the most important dvd release of this millennium,1,0,0.33925468,Positive,Negative
