review,actual,predicted,probability,actual_sentiment,predicted_sentiment
this silly movie is really fun for the younger audiences its heros are a couple of dud detectives whose sophomoric attitudes lead them down some very silly roads chasing the big murder case you will see these detectives go to every length to solve the crime no nudity but lots of sexual implication slapstick silliness everything adolescents go for low budget but very entertaining definite cult classic potential,1,0,0.095128365,Positive,Negative
we have to remember that the s were practically a blank slate when it came to movies hollywood was in transition from patriotic war movies noir two reel oaters etc to movies with a message we had blackboard jungle on the waterfront and so on some folks might think that was an improvement i don t who was the mogul who said if you want to send a message call western union he was right these psychological thrillers are less entertainment than some kind of remote therapy this one is a pip it s about three sisters trying to wrest control of their dead father s estate one of them maybe the only one worth redemption enlists the aid of the company pilot to help her keep the rest of the family at bay he s initially in it for the bucks but eventually falls for her meanwhile the rest of the family schemes to sabotage the romance the results are predictable you get a little bit of everything in this movie sexual tension between the sisters a little subtle masochism hereditary insanity if there is such a thing we never get to meet the parents but they must really have been screwed up the cast is practically unknown one or two of the actors sound vaguely familiar the acting is so bad it s hard to believe it was released under the united artists umbrella by a company called bel air productions it was shot in and around la mostly at night and probably without permits the end was so bizarre that i thought it was a joke it was as if they ran out of money and the producer decided to wrap it up in the middle of a scene i can t explain it not even to myself but i gave this pile of trash an i m familiar with the term it s so bad it s good but i don t think i ever ran into the phenomenon before well maybe hot rods to hell but this one certainly fits you might want to try this if you love movies that seem like they were made in somebody s basement,1,0,0.020530796,Positive,Negative
brian de palma s undeniable virtuosity can t really camouflage the fact that his plot here is a thinly disguised psycho carbon copy but he does provide a genuinely terrifying climax his blow out made the next year was an improvement,1,0,0.30011755,Positive,Negative
probably the best horror movie in years there s been lame remakes attempts to make you scared when all they make you do is walk out of the theater and movies that just shouldn t have been made but this one is worth it the only reason i didn t give it a is because paris hilton is in it but her death scene makes up for it believe me so here they are the spoilers of all the death scenes in the movie my favorite death scene ever paris hilton s after finding her boyfriend blake laying on the ground with a knife sticking out of his neck paige starts to run well speed walk is more respectable she finds this like garage with all these cars in it then one of the killers cuts her ankle from below this whole time shes holding a huge metal spike so she drops it and runs and hides behind this car the killer picks it up and as she looks through the window he throws it through the window and it shoots through her forehead i ve never been so excited or laughed so hard in my life paige s boyfriend blake gets a knife stabbed into his neck and then the killer walks up to him while hes on the ground and steps on it pushing it farther into his throat then he dies elisha cuthbert carly one of the hottest chicks ever doesn t die phew but she does get her lips super glued together punched in the face and gets part of her index finger chopped off yeah i felt like heaving carly s twin brother nick also survives but not without getting his ass kicked and a stab wound to the leg nicks best friend dalton gets thrown down a flight of stairs and then is decapitated his body is dragged away and we see his eyes blink then he gets covered in wax wade carly s boyfriend gets his achilles tendon snipped by a massive pair of scissors and then is attacked by the same scissors he doesn t die but hes covered in wax and on occasions his skin is accidentally removed revealing his nasty bloody flesh yummy so there it is definitely worth your money,1,0,0.37902325,Positive,Negative
this is a formula b science fiction movie and the director made no bones about it it is about a dragon who is restored to life by a scientific team everything done is stuff you ve seen many times before it is a weak script with no real characters in fact it is full of stereotype characters and situations the director attacks this by just making it a formula movie with no attempt to fool us and that gives this movie a mild appeal but it isn t something you re likely to remember a while it is best seen while you re cooking cleaning working out sort of mindless fun it has its place in entertainment but it certainly isn t something you sit down with friends to watch unless you re all just drunk and don t care the mass rating of is probably fair i don t think it is as crappy as most people but i am surprised that some people in the postings thought this was spectacular that really eludes me as i see no attempt to even make this a memorable film,0,1,0.54112804,Negative,Positive
for those who like depressing films with sleazy characters and a sordid storyline this one is for you from the bleak new york city atmosphere which comes across as an extremely grim and almost hopeless place to two diverse lead characters devoid of much sense of morality this movie is a real downer why it won the academy award was because it was so shocking at that time that hollywood brand new its freedom to show anything it wanted with all moral codes abandoned wanted to celebrate that fact filmmakers then were like an immature six year old with an unlimited expense account at the local candy store so hollywood gave theater viewers for probably the first time a dose of rape prostitution homosexuality child nudity homeless existence and other such wonderful sights and sounds only its twisted brain would think is appealing and then awarded its work it also hoped i m sure to shock mainstream audiences well it succeeded on that level audiences were stunned at what they say and heard and the academy proud of itself for being able to display filth and make money at the same time couldn t help but bestow honors upon this piece of gilded garbage forty years ago as a very young man i found this film fascinating too however seeing it again in the s left such a bad taste in my mouth i never watched to view it again the acting was good but so what acting is good in many films nobody ever said dustin hoffman and jon voight couldn t act hoffman was particularly good in his younger days in playing wacked out people he was kind of like the johnny depp of his era playing guys like ratso rizzo in this film and then going to be the rain man later on yes ratso is a character you ll never forget and joe buck voight is one you want to forget but the story is so sordid it overwhelms the fine acting this movie isn t art and it isn t worthy of its many awards it only pushed the envelope big time in and that s why it is so fondly remembered in the hearts of film people and critics it s two hours of profanity and ultra sleazy religious cheap shots glorifying weirdos andy warhol even gets in the act no surprise and generally despicable people i did like the catchy song everybody s talking that helped make harry nilsson famous but even that was bogus because fred neil wrote the song and sang it better before nilsson did it and few people have ever heard of neil which is their loss and as mentioned the name ratso rizzo kind of stays with you the film is a landmark but in a negative sense i fear this marked it as official that hollywood had gone down the toilet and it has remained in the sewer ever since,0,1,0.98876077,Negative,Positive
when a hardworking entrepreneur is rejected from a prestigious country club he starts a battle between the members and eventually buys it from ty webb chevy chase and turns it into a theme park golf course in which everyone can join this is by no means a good movie but it is still slightly amusing at times almost all of the comedy is cheap slapstick and bad jokes except for chevy chase chevy chase plays one of his greatest roles as ty webb for a second time and plays it great he is not only the funniest character in the movie he is the only funny character in the movie even dan akroyd fails to bring humor to this film which aspires to be a great sequel to a classic comedy but falls to rubble with others shown on comedy central the movie might have been better if ty webb chase had a larger role but instead he was reduced to a minor character and the star became jackie mason who they should have brought back all of the cast and made a sequel the right way this is a perfect example of what not to do when making a sequel to an already great movie overall caddyshack ii is humorous but a large mistake i do not recommend this movie,0,1,0.9508615,Negative,Positive
i remember viewing this movie when i was a kid i recall it terrified me immensely and it stayed with me all these years i spent a couple of years trying to find it online didn t remember the title only the storyline after searching and searching i came across a vhs that was being sold on e bay i was excited and when it finally arrived i jammed it into the vcr and couldn t help but feel a bit nostalgic needless to say i was slightly disappointed this wasn t the movie i remember watching as a kid it was boring at times and i found beryl reid s incessant whinning extremely annoying both performances by reid and flora robson were good overall but the movie wasn t scary i think any movie is worth viewing to form you re own opinion but sometimes well,0,1,0.86683327,Negative,Positive
kim basinger and mickey rourke star in this controversial story of a wall street exec and an art gallery employee who hook up and begin a very experimental sexual relationship while the acting by rourke and basinger is ok the flim doesn t allow their characters to truly form allegedly there was a lot of film left on the cutting room floor that delved deeper into the characters and the effects of the relationship on them basinger s character considering suicide that would have made the characters more involved for the viewer as is it is a glossy well produced with mtv style editing piece of soft core voyeurism of,0,1,0.9722578,Negative,Positive
tromeo juliet th anniversary edition william shakespeare s play romeo juliet has been interpreted hundreds of times on stage and in films sometimes literally following the original text which is at times vague in stage directions sometimes in new interpretations where directors chose to show their own view on the piece some are good many are mediocre lloyd kaufman s film certainly stands out as one of the most original modern versions of the bard s creation it may be placed in a modern day decaying new york and full of the modern day anti social behavior body piercing dismemberment and kinky sex which for the more than casual reader shakespeare himself wasn t shying away from but at the same time it stays incredibly close to the overall feel and point of what the play is all about which is quite an effort kaufman wrote the script with his co director on the film james gunn who is now famous for writing two successful scooby doo movies doing the impossible by making a perfect remake of an already perfect film with his script for dawn of the dead and directing one of the best horror films of the year slither lloyd kaufmans innovative directorial view alongside with james gunns original and unrestricted writing make for an interpretation of shakespeare s play that maybe not everyone will get immediately but will certainly be recognized by a truly unique and highly important view on a classic play with a script that is written entirely in iambic meter appearances of motorhead s lemmy and an outrageous forceful soundtrack watching tromeo juliet is something no one will ever forget apart from it s historical significance tromeo juliet is a treasure for film lovers of all kind not only for the script by james gunn now a good influence on hollywood while working from the inside but also because it features an early part of legendary actress debbie rochon well known by everyone familiar with films that are made on lower budgets the th anniversary edition on dvd adds to all that by including so many as yet undiscovered gems that not only all the information one could wish for about the film itself and the experience of making it is presented in ways that make it impossible to turn off the dvd but also a very honest and disturbing look is given into the ways independent cinema has to surviver these days in many ways the extra s on the disc are an invaluable addition to the already impressive amount given on kaufman s film school make your own damn movie furtermore historical items from the troma vaults which include james gunn debbie rochon and all other contributors to this masterpiece are included and the film itself is apart from looking better then ever accompanied by no less than four audio commentaries each and everyone informative excruciatingly funny and all done for serious addition to the film instead of the boring and nonsensical commentaries that are so common these days there are new commentaries one with kaufman and gunn together but also the one james gunn did for the original release of the dvd but couldn t be included there for some of honesty he displays about some other people is present on this disc with fan recreations of a few of the scenes from the film a video diary of lloyd kaufman s visit to the set of james gunn s slither and a visit the two brought together to eli roth s hostel birthday party and much more this is the ultimate set everyone must own weather you are a film historian someone interested in interpretations of the great bard s work a fan of great cinema a fighter for independent cinema a fan of james gunn interested in learning more on making films on a low budget a fan of lloyd kaufman or whatever this is the most important dvd release of this millennium,1,0,0.14777185,Positive,Negative
