review,actual,predicted,probability,actual_sentiment,predicted_sentiment
this silly movie is really fun for the younger audiences its heros are a couple of dud detectives whose sophomoric attitudes lead them down some very silly roads chasing the big murder case you will see these detectives go to every length to solve the crime no nudity but lots of sexual implication slapstick silliness everything adolescents go for low budget but very entertaining definite cult classic potential,1,0,0.32756487,Positive,Negative
we have to remember that the s were practically a blank slate when it came to movies hollywood was in transition from patriotic war movies noir two reel oaters etc to movies with a message we had blackboard jungle on the waterfront and so on some folks might think that was an improvement i don t who was the mogul who said if you want to send a message call western union he was right these psychological thrillers are less entertainment than some kind of remote therapy this one is a pip it s about three sisters trying to wrest control of their dead father s estate one of them maybe the only one worth redemption enlists the aid of the company pilot to help her keep the rest of the family at bay he s initially in it for the bucks but eventually falls for her meanwhile the rest of the family schemes to sabotage the romance the results are predictable you get a little bit of everything in this movie sexual tension between the sisters a little subtle masochism hereditary insanity if there is such a thing we never get to meet the parents but they must really have been screwed up the cast is practically unknown one or two of the actors sound vaguely familiar the acting is so bad it s hard to believe it was released under the united artists umbrella by a company called bel air productions it was shot in and around la mostly at night and probably without permits the end was so bizarre that i thought it was a joke it was as if they ran out of money and the producer decided to wrap it up in the middle of a scene i can t explain it not even to myself but i gave this pile of trash an i m familiar with the term it s so bad it s good but i don t think i ever ran into the phenomenon before well maybe hot rods to hell but this one certainly fits you might want to try this if you love movies that seem like they were made in somebody s basement,1,0,0.037878636,Positive,Negative
this episode of twilight zone combines a silent section with melodramatic acting and sight gags an homage to the early buster keaton films lots of slapstick buster falling on a bulkhead door falling in a puddle running around pants less silly scientist s invention of a time helmet reminiscent of a flash gordon idea of what the future would be cheap prices like for ladies hats or cents a pound for beef seem outrageously high to buster even the world of is too much for buster mulligan how shocking when he is mistakenly transported to the modern world of buster was trying to go backwards the scientist of that time wants to return to a calmer world the that he has studied and admired they go back together and buster mulligan is now happy and the scientist regrets not having electronic equipment modern beds or an electric blanket so buster sends him back with the crazy helmet this twilight zone doesn t have a heavy message since buster keaton died in it is one of his last efforts that s enough one other cute thing longtime underutilized maytag man jesse white is a repairman who fixes the time helmet foreshadowing his washing machine career,1,0,0.4991636,Positive,Negative
hollow man starts as brilliant but flawed scientist dr sebastian caine kevin bacon finally works out how to make things visible again after having been turned invisible by his own serum they test the serum on an already invisible gorilla it works perfectly caine his team of assistant s celebrate but while he should report the breakthrough to his military backers caine wants to be the first invisible human he manages to persuade his team to help him the procedure works well caine becomes invisible however when they try to bring him back the serum fails he remain invisible the team desperately search for an antidote but nothing works caine slowly starts to lose his grip on reality as he realises what power he has but is unable to use it being trapped in a laboratory but then again he s invisible right he can do anything he wants directed by paul verhoeven i rather liked hollow man you know it s just after christmas i saw this a few hours ago on late night early morning cable tv worst of all i feel sick not because of the film but because of the chocolates fizzy pop i ve had over the past week so i ll keep this one brief the script by andrew w marlowe has a decent pace about but it does drag a little during the middle has a good central premise it takes he basic idea that being invisible will make you insane just like in the original the invisible man film which hollow man obviously owes a fair bit it manages to have a petty successful blend of horror sci fi action provide good entertainment value for odd minutes i thought the character s were ok i thought some of the ideas in the film were good although i think it s generally known that verhoeven doesn t deal in subtlety the first thing he has the invisible caine do is sexually molest one of his team then when he gets into the outside world he has caine rape a woman with the justification who s going to know that caine says to himself then of course there s the gore he shows a rat being torn apart that s just the opening scene after the credits to be fair to him the violence is a bit more sparse this time around but still has a quite nasty sadistic tone about it having said that i love horror gore exploitation films so hollow man delivers for me it s just that it might not be everyone s cup of tea director verhoeven does a great job or should that be the special effects boys make him look good the special effects in hollow man really are spectacular more or less flawless their brilliant it s as simple straight forward as that there s some good horror action set pieces here as well even if the climatic fight is a little over the top i love the effect where kevin bacon disappears one layer at a time complete with veins organs bones on full show or when the reverse happens with the gorilla there s a few gory moments including a rat being eaten someone is impaled on a spike someone has their head busted open with blood splattering results with a staggering budget of about hollow man is technically faultless i can imagine the interviews on the dvd where some special effects boffin says they mapped bacon s entire body out right down to he last vein which they actually did because you know everyone watching would notice if one of his veins were missing or in the wrong position wouldn t they the acting was ok bacon made for a good mad scientist anti hero type guy hollow man is one of hose big budget hollwood extravaganzas where the effects action take center stage over any sort of meaningful story or character s but to be brutally honest sometimes we all like that in a film well i know i do good solid big budget entertainment with a slightly nastier darker streak than the usual hollywood product definitely worth a watch,1,0,0.35091627,Positive,Negative
saw this for the first time on uk tv with good musical accompaniment the elevator scene is class especially when he does the going down thing in the phone booth and then fiddles with the floor indicator the jump through the transom is really impressive and there s so much more apart from all the stuff that s been mentioned before there s the fight with the man who s been bullying the woman with the dog it just looks so simple the only drawback is the plot he gets mixed up with dead eye dan who then escapes but doesn t reappear even when some more gangsters get involved later on the scene where it looks like he s shooting at the fat inspector is funny but would have been better if dead eye was the one pulling the trigger,1,0,0.3164167,Positive,Negative
brian de palma s undeniable virtuosity can t really camouflage the fact that his plot here is a thinly disguised psycho carbon copy but he does provide a genuinely terrifying climax his blow out made the next year was an improvement,1,0,0.32991487,Positive,Negative
a well made run of the mill movie with a tragic ending pluses the way the story moves begins with soorya struggling to live followed by a long flashback about why he s there the music a disinterested look at the life of policemen minuses the violence and the gore but i guess they add to the realistic effects still having people s heads chopped off and sent in boxes and sacks could have been avoided no complaints,1,0,0.4768319,Positive,Negative
i am normally not compelled to write a review for a film but the only commentary for this film thus far on is rather unfair so i feel it necessary to share my point of view krisana or as it was titled at the theater i saw it fallen follows matiss a lonely latvian archivist as he tries to learn about a woman whom he didn t try to stop from jumping off a bridge as well as her reasons for doing so that s the plot in a nutshell but this film is not concerned with story as much it is in depicting the guilt of a man who failed to act as a detective who investigates the incident tells him we usually don t bother to care about the anonymous faces we pass every day until after they die comparisons to michaelango antonioni and his blowup will most likely abound in any review you read about krisana the influence of antonioni s philosophical and austere style and the story of blowup are clear and in fact writer director fred kelemen makes an obvious reference to that film in scenes in which matiss attempts to come to know the woman who jumped off the bridge or at least who he thinks did the only other person to share his or her views on the film detracts the college film class look and sound of the film he or she neglects to consider the budgetary constraints that an existentialist latvian film most likely faces but the atmospheric black and white cinematography and ambient sound succeeds at an artistic level to depict the solitude of matiss the background sound of wind and street noises lend an ominous aura and reminds one of a fellini film whether or not that was kelemen s intention the filmmakers undoubtedly had little money but this constraint is used to the film s advantage krisana succeeds as a character study with enough humor thrown in to keep it from being too self serious it could have easily fell into the trappings of a mystery story but it avoids that and becomes an intelligent film about loneliness and guilt if you are more concerned with plot this film and its ending may frustrate you otherwise take the time to be engaged by it it is well worth seeking out,1,0,0.028472126,Positive,Negative
for those who like depressing films with sleazy characters and a sordid storyline this one is for you from the bleak new york city atmosphere which comes across as an extremely grim and almost hopeless place to two diverse lead characters devoid of much sense of morality this movie is a real downer why it won the academy award was because it was so shocking at that time that hollywood brand new its freedom to show anything it wanted with all moral codes abandoned wanted to celebrate that fact filmmakers then were like an immature six year old with an unlimited expense account at the local candy store so hollywood gave theater viewers for probably the first time a dose of rape prostitution homosexuality child nudity homeless existence and other such wonderful sights and sounds only its twisted brain would think is appealing and then awarded its work it also hoped i m sure to shock mainstream audiences well it succeeded on that level audiences were stunned at what they say and heard and the academy proud of itself for being able to display filth and make money at the same time couldn t help but bestow honors upon this piece of gilded garbage forty years ago as a very young man i found this film fascinating too however seeing it again in the s left such a bad taste in my mouth i never watched to view it again the acting was good but so what acting is good in many films nobody ever said dustin hoffman and jon voight couldn t act hoffman was particularly good in his younger days in playing wacked out people he was kind of like the johnny depp of his era playing guys like ratso rizzo in this film and then going to be the rain man later on yes ratso is a character you ll never forget and joe buck voight is one you want to forget but the story is so sordid it overwhelms the fine acting this movie isn t art and it isn t worthy of its many awards it only pushed the envelope big time in and that s why it is so fondly remembered in the hearts of film people and critics it s two hours of profanity and ultra sleazy religious cheap shots glorifying weirdos andy warhol even gets in the act no surprise and generally despicable people i did like the catchy song everybody s talking that helped make harry nilsson famous but even that was bogus because fred neil wrote the song and sang it better before nilsson did it and few people have ever heard of neil which is their loss and as mentioned the name ratso rizzo kind of stays with you the film is a landmark but in a negative sense i fear this marked it as official that hollywood had gone down the toilet and it has remained in the sewer ever since,0,1,0.93442625,Negative,Positive
i remember viewing this movie when i was a kid i recall it terrified me immensely and it stayed with me all these years i spent a couple of years trying to find it online didn t remember the title only the storyline after searching and searching i came across a vhs that was being sold on e bay i was excited and when it finally arrived i jammed it into the vcr and couldn t help but feel a bit nostalgic needless to say i was slightly disappointed this wasn t the movie i remember watching as a kid it was boring at times and i found beryl reid s incessant whinning extremely annoying both performances by reid and flora robson were good overall but the movie wasn t scary i think any movie is worth viewing to form you re own opinion but sometimes well,0,1,0.5147956,Negative,Positive
